"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT06","WT08","WT09"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2021-01-01","8.28",,"0.02","0.6","7.1","20","26","16","   20","  350","17.0","23.0","    1",,,,,,
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2021-01-02","2.01",,"0.00","0.0","7.1","23","24","17","  340","  350","14.1","19.0","    1","    1",,,,,
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2021-01-03","3.58",,"0.00","0.0","7.1","21","23","20","  200","  210","8.9","15.0","    1","    1",,,,,
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2021-01-04","5.82",,"0.02","0.5","5.9","21","29","20","  160","  160","14.1","17.0","    1",,,,,,
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2021-01-05","2.01",,"0.00","0.0","7.1","27","33","15","  290","  290","8.1","13.0","    1","    1",,,,,
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2021-01-06","4.25",,"0.00","0.0","5.9","21","29","16","  120","  130","8.9","12.1","    1","    1",,,,,
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2021-01-07","7.61",,"0.00","0.0","5.9","26","29","21","  340","   10","12.1","16.1","    1","    1",,,,,
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2021-01-08","6.26",,"0.00","0.0","5.9","28","28","25","   10","  360","12.1","15.0",,,,,,,
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2021-01-09","3.80",,"0.00","0.0","5.9","26","30","15","  300","  340","8.9","13.0",,,,,,,
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2021-01-10","4.47",,"0.00","0.0","5.9","21","24","18","  350","  350","10.1","13.0","    1",,,,,,
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2021-01-11","7.38",,"0.00","0.0","5.9","23","31","18","  200","  220","16.1","27.1","    1",,,,,,
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2021-01-12","3.36",,"0.00","0.0","5.9","27","35","18","  210","  270","8.1","13.0","    1",,,,,"    1",
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2021-01-13","2.91",,"0.00","0.0","5.9","32","39","27","  170","  220","8.9","11.0","    1",,,,,,
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2021-01-14","8.05",,"0.21","1.1","5.1","32","35","25","  160","  150","15.0","19.0","    1",,,"    1",,,
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2021-01-15","7.16",,"0.08","1.1","5.9","33","35","32","  160","  150","15.0","19.9","    1",,,,"    1",,
